zes28a-1a2b-09v
Date,Time,Value [µS/cm],Quality,Tags,Comments
27/08/2025,18:40:00,12643.967,NA,conductivity,21.593
27/08/2025,18:45:00,12902.692,NA,conductivity,21.595
27/08/2025,18:50:00,13069.890,NA,conductivity,21.597
27/08/2025,18:55:00,13178.378,NA,conductivity,21.596
27/08/2025,19:00:00,13263.219,NA,conductivity,21.597
27/08/2025,19:05:00,13378.851,NA,conductivity,21.599
27/08/2025,19:10:00,13489.046,NA,conductivity,21.600
27/08/2025,19:15:00,13607.465,NA,conductivity,21.603
27/08/2025,19:20:00,13609.207,NA,conductivity,21.604
27/08/2025,19:25:00,13639.332,NA,conductivity,21.608
27/08/2025,19:30:00,13513.029,NA,conductivity,21.602
27/08/2025,19:35:00,13234.151,NA,conductivity,21.598
27/08/2025,19:40:00,12856.712,NA,conductivity,21.590
27/08/2025,19:45:00,12899.048,NA,conductivity,21.594
27/08/2025,19:50:00,12984.040,NA,conductivity,21.593
27/08/2025,19:55:00,13013.024,NA,conductivity,21.591
27/08/2025,20:00:00,12606.571,NA,conductivity,21.581
27/08/2025,20:05:00,12055.857,NA,conductivity,21.578
27/08/2025,20:10:00,11906.130,NA,conductivity,21.579
27/08/2025,20:15:00,11772.319,NA,conductivity,21.575
27/08/2025,20:20:00,11471.049,NA,conductivity,21.577
27/08/2025,20:25:00,10730.526,NA,conductivity,21.572
27/08/2025,20:30:00,9907.939,NA,conductivity,21.577
27/08/2025,20:35:00,9716.873,NA,conductivity,21.587
27/08/2025,20:40:00,9641.107,NA,conductivity,21.586
27/08/2025,20:45:00,9819.308,NA,conductivity,21.579
27/08/2025,20:50:00,9799.809,NA,conductivity,21.581
27/08/2025,20:55:00,9797.360,NA,conductivity,21.580
27/08/2025,21:00:00,9670.567,NA,conductivity,21.578
27/08/2025,21:05:00,9512.117,NA,conductivity,21.577
27/08/2025,21:10:00,9370.821,NA,conductivity,21.579
27/08/2025,21:15:00,9221.698,NA,conductivity,21.579
27/08/2025,21:20:00,9057.962,NA,conductivity,21.579
27/08/2025,21:25:00,8917.310,NA,conductivity,21.579
27/08/2025,21:30:00,8753.718,NA,conductivity,21.579
27/08/2025,21:35:00,8605.410,NA,conductivity,21.580
27/08/2025,21:40:00,8485.656,NA,conductivity,21.579
27/08/2025,21:45:00,8375.261,NA,conductivity,21.577
27/08/2025,21:50:00,8228.052,NA,conductivity,21.576
27/08/2025,21:55:00,8113.264,NA,conductivity,21.574
27/08/2025,22:00:00,7978.564,NA,conductivity,21.574
27/08/2025,22:05:00,7855.336,NA,conductivity,21.573
27/08/2025,22:10:00,7748.111,NA,conductivity,21.573
27/08/2025,22:15:00,7657.619,NA,conductivity,21.570
27/08/2025,22:20:00,7551.722,NA,conductivity,21.569
27/08/2025,22:25:00,7447.966,NA,conductivity,21.568
27/08/2025,22:30:00,7338.756,NA,conductivity,21.567
27/08/2025,22:35:00,7211.815,NA,conductivity,21.565
27/08/2025,22:40:00,7077.230,NA,conductivity,21.564
27/08/2025,22:45:00,6990.469,NA,conductivity,21.563
27/08/2025,22:50:00,6902.011,NA,conductivity,21.560
27/08/2025,22:55:00,6815.900,NA,conductivity,21.557
27/08/2025,23:00:00,6689.585,NA,conductivity,21.557
27/08/2025,23:05:00,6612.928,NA,conductivity,21.551
27/08/2025,23:10:00,6503.159,NA,conductivity,21.549
27/08/2025,23:15:00,6426.491,NA,conductivity,21.547
27/08/2025,23:20:00,6332.041,NA,conductivity,21.543
27/08/2025,23:25:00,6214.031,NA,conductivity,21.539
27/08/2025,23:30:00,6099.344,NA,conductivity,21.534
27/08/2025,23:35:00,6004.822,NA,conductivity,21.532
27/08/2025,23:40:00,5921.235,NA,conductivity,21.528
27/08/2025,23:45:00,5835.570,NA,conductivity,21.524
27/08/2025,23:50:00,5739.765,NA,conductivity,21.519
27/08/2025,23:55:00,5647.733,NA,conductivity,21.514
28/08/2025,00:00:00,5528.354,NA,conductivity,21.508
28/08/2025,00:05:00,5438.931,NA,conductivity,21.503
28/08/2025,00:10:00,5344.941,NA,conductivity,21.498
28/08/2025,00:15:00,5238.757,NA,conductivity,21.492
28/08/2025,00:20:00,5154.527,NA,conductivity,21.486
28/08/2025,00:25:00,5058.785,NA,conductivity,21.480
28/08/2025,00:30:00,4970.119,NA,conductivity,21.472
28/08/2025,00:35:00,4867.888,NA,conductivity,21.465
28/08/2025,00:40:00,4781.945,NA,conductivity,21.460
28/08/2025,00:45:00,4713.796,NA,conductivity,21.453
28/08/2025,00:50:00,4649.647,NA,conductivity,21.446
28/08/2025,00:55:00,4558.512,NA,conductivity,21.439
28/08/2025,01:00:00,4488.634,NA,conductivity,21.432
28/08/2025,01:05:00,4428.120,NA,conductivity,21.424
28/08/2025,01:10:00,4354.832,NA,conductivity,21.414
28/08/2025,01:15:00,4275.679,NA,conductivity,21.406
28/08/2025,01:20:00,4217.063,NA,conductivity,21.396
28/08/2025,01:25:00,4146.407,NA,conductivity,21.386
28/08/2025,01:30:00,4079.486,NA,conductivity,21.374
28/08/2025,01:35:00,4030.702,NA,conductivity,21.363
28/08/2025,01:40:00,3944.282,NA,conductivity,21.350
28/08/2025,01:45:00,3887.538,NA,conductivity,21.337
28/08/2025,01:50:00,3855.255,NA,conductivity,21.325
28/08/2025,01:55:00,3783.154,NA,conductivity,21.313
28/08/2025,02:00:00,3751.855,NA,conductivity,21.305
28/08/2025,02:05:00,3683.351,NA,conductivity,21.304
28/08/2025,02:10:00,3656.408,NA,conductivity,21.307
28/08/2025,02:15:00,3696.222,NA,conductivity,21.297
28/08/2025,02:20:00,3689.044,NA,conductivity,21.290
28/08/2025,02:25:00,3609.899,NA,conductivity,21.293
28/08/2025,02:30:00,3609.934,NA,conductivity,21.299
28/08/2025,02:35:00,3649.832,NA,conductivity,21.311
